track_id	name	artist	spotify_preview_url	spotify_id	tags	genre	year_x	duration_ms	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature	title	tag	year_y	views	features	lyrics	id	language_cld3	language_ft	language
TRILGAD128F425D719	Falling Stars	Sunset Strippers	https://p.scdn.co/mp3-preview/6eb20ea9903193470c870d0b38fa00c2414fae6e?cid=774b29d4f13844c495f206cafdad9c86	0WywirhonsjZuqx9xqRbCF	dance, house		2010	196626	0.734	0.929	0	-4.669	0	0.0831	0.00219	0.000812	0.0645	0.816	125.034	4	Falling Stars	pop	2004	1941	{}	"I hear your name whispered on the wind
It's a sound that makes me cry
I hear a song blow again and again
Through my mind and I don't know why
I wish I didn't feel so strong about you
Like happiness and love revolve around you

Trying to catch your heart
Is like trying to catch a star
So many people love you baby
That must be what you are

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms baby, yeah

I've learned to feel what I cannot see
But with you I lose that vision
I don't know how to dream your dream
So I'm all caught up in superstition
I want to reach out and pull you to me
Who says I should let a wild one go free
Trying to catch your heart
Is like trying to catch a star
But I can't love you this much baby
And love you from this far

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms baby, yeah

Waiting (however long...)
I don't like waiting (I'll wait for you...)
It's so hard waiting (don't be too long...)
Seems like waiting (makes me love you even more...)

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms baby, yeah"	1135605	en	en	en
TRDQEPI12903CB9894	Snap	D.R.I.	https://p.scdn.co/mp3-preview/479a9510f63a057ac212db3fe246967a8d7f2462?cid=774b29d4f13844c495f206cafdad9c86	3auA3alzi9YBSJkiueZuy2	punk, thrash_metal		1997	72520	0.292	0.788	7	-6.694	1	0.034	9.08e-06	0.0	0.0556	0.629	102.261	4	Snap	rock	1985	808	{}	"[Verse 1]
No, there are no easy answers
To sum up the problems which we face
History's a lesson, let us learn by our mistakes
Just don't expect to make sense
Out of what you see
For I can tell you now that
Knowing is believing

[Verse 2]
So if you open your mind you might understand
You're the victim of a bigtime government scam
And though you may not be inclined to believe
The man behind the desk does get paid to deceive
You live in your little dream world
You're much too cool to care
I really have to warn you
I think it's only fair

[Verse 3]
They await the final hour
As happy as they are sick
Laughing so hysterically
At all those who they've tricked
Who am I to tell you who to believe in
When all the masks they seem so damn deceiving?
How can I say to you, ""You be Free""
That would never bring about mass anarchy
Now, would it?"	1276864	en	en	en
TRRXSKH128F429465D	My Bed Is Too Big	Blue System	https://p.scdn.co/mp3-preview/4634ab8b48b4e9b21a42f9b890df77dd127f3428?cid=774b29d4f13844c495f206cafdad9c86	1HAOxfrfkmaHI5pQJSZXzC	80s, german		2014	195880	0.788	0.81	4	-6.053	1	0.0343	0.025	0.00512	0.094	0.698	113.002	4	My Bed Is Too Big	pop	1988	1551	{}	"[Verse 1]
I don't call it love
Come take me in your heart
Oh, I can't get enough
I know we will never part
We are nightbirds my baby
Nightbirds will never stop
Oh, you're playin' with fire
Lost in my desire, Baby you're so hot

[Chorus]
My bed is too big
Too big without you
Baby, I wanna have your body
Come gimme what you've got
My bed is too big
Too big without you
Lady, I wanna have no heartache
Come hit me with a shot

[Verse 2]
In a world of stone
Love never be the same
I hate to be alone
Tired of playin' games
You like cocktails at midnight
Diamonds and silver a lot
Oh, you're a woman behind me
Oh, set my heart free, Baby you're so hot
[Chorus]
My bed is too big
Too big without you
Baby, I wanna have your body
Come gimme what you've got
My bed is too big
Too big without you
Lady, I wanna have no heartache
Come hit me with a shot

[Instrumental]

[Chorus]
My bed is too big
Too big without you
Baby, I wanna have your body
Come gimme what you've got
My bed is too big
Too big without you
Lady, I wanna have no heartache
Come hit me with a shot"	773697	en	en	en
TREUCRK128F428B0BB	Trickbag	Refused	https://p.scdn.co/mp3-preview/d32235245780306b3022fe5b165a3592452ef1af?cid=774b29d4f13844c495f206cafdad9c86	1IAqGaX6dQHeMvXkZFGDkU	punk, hardcore, metalcore, grindcore	Punk	1994	139866	0.352	0.974	2	-7.028	1	0.105	3.73e-06	0.718	0.122	0.334	119.503	4	Trickbag	rock	1994	176	{}	"My bag of tricks is far from empty
Don't bust my chops, don't try and tempt me
Cause I will stick the truth in your face
There's only one race, the human race
Propagandic ways and abuse, set to separate and confuse
For 500 years the barriers been there and they're not moving anywhere

Who the fuck are we to separate and support their actions of hate? (2x)

Knowledge is the key to unlock the mind

The imperialistic system that invented prejudice and misbelief
They still benefit from it
They still do as they please
Inject us with reasons of contemplation and dissatisfaction
To assure that we remain sedated to their segregative actions

Knowledge is the key to unlock the mind

In our years of existence has our modern society gotten any closer to equality?
Where people openly are being oppressed because of: color, religion, gender, class, sexual preference"	1239806	en	en	en
TRCCBWI128E0784D3E	Falling Out Of Love	Aqualung	https://p.scdn.co/mp3-preview/29506e3704a47cc2993bb09bd6e3abee964f1467?cid=774b29d4f13844c495f206cafdad9c86	2IcqU93USnyec4f92Y44L3	alternative, indie, chillout, piano, male_vocalists, 00s, britpop, mellow, chill		2002	241133	0.568	0.167	7	-14.225	0	0.0303	0.746	0.577	0.106	0.179	126.119	3	Falling Out Of Love	pop	2003	404	{}	"(Verse 1)
I watch the sun
See it rise and fall
Waiting for something to change
I get through the day
Hope to turn things around
Seems like

(Chorus x4)
I'm falling out of love

(Verse 2)
Feeling alone
With you by my side
Further and further away
Funny how long
A moment can seem
When you're trying to hold on
Feels like

(Chorus x4)
I'm falling out of love
Yeah I'm falling out of love
(Repeat x3)
I'm falling out of love
Falling, I'm falling, I'm falling"	448118	en	en	en
TRARPWX128F92CD69C	The Chance	Helloween	https://p.scdn.co/mp3-preview/35e59224df2177d7386f92bf497d18ae6842bf92?cid=774b29d4f13844c495f206cafdad9c86	0uprCIIxOesprh3kjSMVP5	power_metal	Country	2002	226733	0.439	0.974	7	-5.991	1	0.155	0.00446	0.0	0.274	0.225	125.955	4	The Chance	rock	1991	565	{}	"[Verse 1]
We're living in a constant fight
Too much pressure everywhere
And all around
Don't let it pull you down
Hold on tight
Cling to your dreams

[Pre-Chorus]
Don't you depend on someone else
Think for yourself and win the race

[Chorus]
The chance you got comes never twice
Do your best, (and) do it right
Time will come, but don't you hide
You are on your way

[Verse 2]
You're led by God, but you're not a pawn
Should live your life, don't care 'bout any scorn
Just let them fool around
No need to cry
Don't give up
[Pre-Chorus]
Try to be as smart as you can be
I know you own so much ability

[Chorus]
The chance you got comes never twice
Do your best, (and) do it right
Time will come, but don't you hide
You are on your way

[Solo: Roland]

[Chorus]
The chance you got comes never twice
Do your best, (and) do it right
Time will come, but don't you hide
You are on your way

The chance you got comes never twice
Do your best, (and) do it right
Time will come, but don't you hide
You are on your way"	1226303	en	en	en
TRAXFEE128F93377D2	Leave Home	The Chemical Brothers	https://p.scdn.co/mp3-preview/546040b98f06f0399e7de1a02899b5811def19d8?cid=774b29d4f13844c495f206cafdad9c86	1zVDnkLQVoIweBJxsEGTDz	electronic, dance, 90s, techno, electro		2003	306133	0.614	0.918	2	-4.985	1	0.0431	0.00882	0.766	0.114	0.606	107.993	4	Leave Home	pop	1995	2229	{}	"Ohm
Ohm
Ohm
Ohm

The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
(Yo man, you guys are mean)
(You know that)
(Yo man, you guys are mean)
(You know that)
(Yo man, you guys are mean)
(You know that)

The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out
The brothers gonna work it out

(Yo man, you guys are mean)
(You know that)
(Yo man, you guys are mean)
(You know that)
(Yo man, you guys are mean)
(You know that)"	1674219	en	en	en
TRZZKHE128F9311204	Say Hello Wave Goodbye	David Gray	https://p.scdn.co/mp3-preview/8bbfa2a22a88a6d721e2ab1a8b550b4b0e7c2b0b?cid=774b29d4f13844c495f206cafdad9c86	0eUfaEi18FD4WPPb44nL4B	folk, singer_songwriter, acoustic, male_vocalists, guitar, cover		1998	538200	0.599	0.408	9	-9.973	1	0.0277	0.0906	2.51e-05	0.111	0.334	159.992	4	Say Hello Wave Goodbye	pop	1998	7275	{}	"Standin' at the door of the pink Flamingo cryin' in the rain
It was a kind of so-so love and I'm gonna make sure it doesn't happen again
You and I had to be the standing joke of the year
You were a run-around, a lost and found and not for me I feel

Take your hands off me, hey
I don't belong to you, you see
And take a look in my face, for the last time
I never knew you, you never knew me
Say hello, goodbye
Say hello and wave goodbye

We tried to make it work, you in a cocktail skirt and me in a suit but it just wasn't me
You're used to wearing less, and now your life's a mess, so insecure you see
I put up with all the scenes, this is one scene that's goin' to be played my way

Take your hands off me, hey
I don't belong to you, you see
And take a look in my face, for the last time
I never knew you, you never knew me
Say hello, goodbye
Say hello and wave goodbye
Say hello and wave goodbye
Under the deep red light I can see the make-up slidin' down
Well hey little girl you will always make up so take off that unbecoming frown
As for me, well I'll find someone who's not goin' cheap in the sales
A nice little housewife, who'll give me a steady life and not keep going off the rails

Take your hands off me, hey
I don't belong to you, you see
And take a look in my face, for the last time
I never knew you, you never knew me
Say hello, goodbye
Say hello and wave goodbye

Say hello and wave goodbye
Say hello and wave goodbye
Wave goodbye

Say hello and wave goodbye
Say hello, wave goodbye
Goodbye

Say goodbye
Say goodbye

We were born before the waves
Who are we to understand
We were born before the waves
Say goodbye
Through the rain, hail, sleet and snow
Say goodbye
Get on the train, train, train
Say goodbye

Say goodbye
Say goodbye
Say goodbye

In the wind and the rain now, darling
Say goodbye
In the wind and the rain now, darling"	1042919	en	en	en
TRGNJFN128F4254167	En Papier	These New Puritans	https://p.scdn.co/mp3-preview/3c1d2e1ac25aa8cf25916ac44b4c744ac09eecca?cid=774b29d4f13844c495f206cafdad9c86	3RtdB5AAw994RaP0hvBVtP	indie_rock, new_wave, post_punk	Rock	2008	295733	0.555	0.616	2	-8.165	1	0.0695	0.0885	0.0141	0.419	0.209	148.01	4	En Papier	pop	2008	290	{}	"Where did you see it?
Where did you find it?
Well if I knew that
Then I would write it
Where did you last see it?
I'm in the rain
Well if I knew that
Well if I knew that
Then I would find it

En Papier, En Papier...
En Papier, En Papier...

I know you're eating it, God I know you've eaten it
I know you're eating it, God I know you've eaten it
I know you're eating it
I know you're eating it
I know you're eating it
I know...

She's into numerology
She's into astrology
She's into steganography
She's into astronomy
She's into phenomenology
She's into numerology
She's into....
En Papier, En Papier...
En Papier, En Papier...

I know you're eating it, God I know you've eaten it
I know you're eating it, God I know you've eaten it
I know you're eating it
I know you're eating it"	890516	en	en	en
TRMPJCP128E0792212	Evil Deeds	Eminem	https://p.scdn.co/mp3-preview/447229b6a8481be93957f8ef68ee16c429f3c8fb?cid=774b29d4f13844c495f206cafdad9c86	0flo4ALDU40QhT3NMGMjrm	rap, hip_hop		2004	259573	0.731	0.686	11	-5.002	0	0.33	0.0915	0.0	0.415	0.29	75.54	4	Evil Deeds	rap	2004	186258	{}	"[Intro]
Lord, please forgive me for what I do
For I know not what I've done

[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 1]
Momma had a baby and its head popped off
Head popped off, head popped off, head popped off, head popped off, head popped off
But Momma don't want me, the next thing I know, I'm gettin' dropped off
Gettin' dropped off, gettin' dropped off, gettin' dropped off, gettin' dropped off
Ring-ring-ring on the doorbell of the next door neighbors, on their front porch
Their front porch, their front porch, their front porch, their front porch
But they didn't want me neither, so they left me on someone else's lawn
Else's lawn, else's lawn, else's lawn
'Til somebody finally took me in, my great aunt and uncle, Edna and Charles
Edna and Charles, Edna and Charles, Edna and Charles, Edna and Charles, they were the ones who were left in charge
My elementary, they'd gang up on me and sing this song
Sing this song, sing this song, sing this song, sing this song
It went a little something like
""Mary had a little lamb, little lamb, little lamb
Debbie had a Satan spawn, Satan spawn""
Momma why do they keep sayin' this? I just don't understand, understand
And by the way, where's my dad?
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 2]
Predominantly, predominantly, everything's always predominantly
Predominantly-white, predominantly black. Well, what about me?
Where does that leave me? Well, I guess that I'm between predominantly both of 'em
I think if I hear that fuckin' word again, I'ma scream
While I'm projectile vomitin'; what do I look like, a comedian to you?
Do you think that I'm kiddin'? What do I look like, some kinda idi...
Wait a minute, shit, don't answer that; why am I so misunderstood?
Why do I go through so much bullshit? It's such bullshit, it's tush mull bish
""Woe is me, there goes poor Marshall again whinin' about his millions
And his mansion and his sorrow he's always drownin' in
And the dad that he never had, and how his childhood was so bad
And how his mom was a dope addict, and his ex-wife, how they go at it
Man, I'd hate to have it as bad as that Mr. Mathers claims he had it
I can't imagine it. That little rich, poor, white bastard
Needs to take some of that cash out of the bank and take a bath in it
Man, if I only had half of it""
Shit, if you only knew the half of it...
Haha
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 3]
Evil deeds, while I plant these evil seeds
Please release me from these demons
I never had any of this shit planned, Mom, please believe
I don't wanna be Satan's spawn
Never got the chance to say I'm sorry
Now look at all the pain I caused
Dear Santa Claus, why are you not comin' this year again?
What did I do that was so bad to deserve this?
Everything could have been so perfect
But life ain't a fairytale. I'm about to be hoisted up in the air
Forty feet below me there's people everywhere
I don't even know but who feel like they know me 'cause I'm in this ferris wheel
And all I wanna do is go to the mall and take Hailie on the carousel
Without this crowd everywhere I go, but life is like a merry-go-round
Here we go now, do-si-do now, curtains up, the show must go now
Ring-around-the-rosie, the show's over, you can all go home now
But the curtain just don't close for me, this ain't how fame was supposed to be
Where's the switch I could just turn off-and-on? This ain't what I chose to be
So please, God, give me the strength to have what it takes to carry on
'Til I pass 50 back the baton, the camera's on, my soul is gone
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds
I said, Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds
(Evil deeds, evil deeds, evil deeds)

[Outro]
[Gunshot]
[Crowd cheering]
Oh!
Last one, baby, let's go
Last one, baby, let's go
Detroit!"	1489	en	en	en
